,unitCode,decade,count
386,SIA,1850.0,92
410,SIL,1740.0,90
161,HMSG,1890.0,90
355,SAAM,1790.0,90
88,FBR,1870.0,87
351,SAAM,1750.0,87
149,HAC,1860.0,86
14,AAA,1850.0,84
223,NMAAHC,1980.0,81
150,HAC,1870.0,79
357,SAAM,1810.0,76
336,NPM,1900.0,76
13,AAA,1840.0,72
337,NPM,1910.0,71
226,NMAAHC,2010.0,67
173,NAA,1880.0,67
409,SIL,1730.0,67
212,NMAAHC,1870.0,66
187,NASM,1910.0,63
214,NMAAHC,1890.0,62
159,HMSG,1870.0,57
172,NAA,1870.0,56
12,AAA,1830.0,56
188,NASM,1920.0,55
408,SIL,1720.0,55
225,NMAAHC,2000.0,55
213,NMAAHC,1880.0,54
311,NPG,1770.0,53
346,SAAM,1700.0,52
384,SIA,1830.0,52
385,SIA,1840.0,50
407,SIL,1710.0,49
406,SIL,1700.0,49
98,FBR,1970.0,49
370,SAAM,1940.0,47
110,FSA,1860.0,46
190,NASM,1940.0,46
11,AAA,1820.0,44
224,NMAAHC,1990.0,41
189,NASM,1930.0,41
405,SIL,1690.0,40
353,SAAM,1770.0,40
348,SAAM,1720.0,39
121,FSA,1970.0,37
10,AAA,1810.0,36
206,NMAAHC,1810.0,35
354,SAAM,1780.0,34
209,NMAAHC,1840.0,33
404,SIL,1680.0,30
87,FBR,1860.0,29
145,FSG,2000.0,29
167,HSFA,1960.0,27
205,NMAAHC,1800.0,26
350,SAAM,1740.0,26
46,ACM,1990.0,25
343,NPM,1970.0,24
382,SIA,1810.0,23
352,SAAM,1760.0,23
207,NMAAHC,1820.0,22
208,NMAAHC,1830.0,22
178,NAA,1930.0,22
47,ACM,2000.0,21
9,AAA,1800.0,21
99,FBR,1980.0,20
330,NPG,1960.0,19
151,HAC,1880.0,19
310,NPG,1760.0,18
45,ACM,1980.0,18
186,NASM,1900.0,17
109,FSA,1850.0,16
84,FBR,1830.0,16
8,AAA,1790.0,15
119,FSA,1950.0,15
85,FBR,1840.0,14
329,NPG,1950.0,14
130,FSG,1730.0,14
7,AAA,1780.0,14
86,FBR,1850.0,14
42,ACM,1950.0,14
118,FSA,1940.0,13
191,NASM,1950.0,13
6,AAA,1770.0,11
157,HMSG,1850.0,11
125,FSG,1680.0,11
403,SIL,1670.0,11
120,FSA,1960.0,10
127,FSG,1700.0,10
204,NMAAHC,1790.0,10
309,NPG,1750.0,10
158,HMSG,1860.0,10
305,NPG,1710.0,10
308,NPG,1740.0,8
196,NASM,2000.0,8
176,NAA,1910.0,7
166,HSFA,1950.0,7
5,AAA,1760.0,7
331,NPG,1970.0,7
126,FSG,1690.0,7
203,NMAAHC,1780.0,7
380,SIA,1790.0,7
193,NASM,1970.0,6
171,NAA,1860.0,6
163,HMSG,1910.0,6
43,ACM,1960.0,6
132,FSG,1750.0,6
373,SAAM,1970.0,6
192,NASM,1960.0,5
175,NAA,1900.0,5
131,FSG,1740.0,5
79,CHNDM,1930.0,5
44,ACM,1970.0,5
174,NAA,1890.0,5
140,FSG,1840.0,5
306,NPG,1720.0,5
179,NAA,1940.0,5
129,FSG,1720.0,5
194,NASM,1980.0,5
4,AAA,1750.0,5
53,CHNDM,1670.0,5
379,SIA,1780.0,5
177,NAA,1920.0,4
48,ACM,2010.0,4
3,AAA,1730.0,4
38,ACM,1860.0,4
378,SIA,1770.0,4
381,SIA,1800.0,3
128,FSG,1710.0,3
349,SAAM,1730.0,3
41,ACM,1920.0,3
202,NMAAHC,1770.0,3
169,HSFA,1980.0,3
33,ACAH,1950.0,3
152,HAC,1890.0,3
136,FSG,1790.0,3
135,FSG,1780.0,3
345,SAAM,1680.0,3
134,FSG,1770.0,3
301,NMAfA,1860.0,3
302,NMAfA,1880.0,3
50,CFCHFOLKLIFE,1970.0,3
102,FSA,1730.0,3
101,FSA,1700.0,3
333,NPM,1800.0,3
52,CFCHFOLKLIFE,1990.0,2
40,ACM,1900.0,2
35,ACAH,2000.0,2
32,ACAH,1940.0,2
374,SAAM,1990.0,2
108,FSA,1840.0,2
133,FSG,1760.0,2
100,FBR,1990.0,2
137,FSG,1800.0,2
155,HMSG,1830.0,2
123,FSA,1990.0,2
156,HMSG,1840.0,2
164,HSFA,1930.0,2
299,NMAfA,1800.0,2
180,NAA,1950.0,2
107,FSA,1830.0,2
106,FSA,1820.0,2
105,FSA,1810.0,2
153,HAC,1910.0,2
347,SAAM,1710.0,2
195,NASM,1990.0,2
371,SAAM,1950.0,2
185,NASM,1890.0,1
198,NMAAHC,1690.0,1
154,HMSG,1820.0,1
39,ACM,1880.0,1
2,AAA,1710.0,1
37,ACM,1850.0,1
36,ACM,1840.0,1
197,NMAAHC,1680.0,1
34,ACAH,1980.0,1
165,HSFA,1940.0,1
184,NASM,1860.0,1
199,NMAAHC,1700.0,1
31,AAA,2020.0,1
170,NAA,1840.0,1
200,NMAAHC,1750.0,1
181,NAA,1960.0,1
182,NAA,1990.0,1
148,HAC,1850.0,1
201,NMAAHC,1760.0,1
1,AAA,1690.0,1
183,NASM,1830.0,1
372,SAAM,1960.0,1
146,FSG,2250.0,1
307,NPG,1730.0,1
376,SIA,1730.0,1
377,SIA,1750.0,1
80,CHNDM,1960.0,1
81,CHNDM,2000.0,1
82,FBR,1810.0,1
83,FBR,1820.0,1
344,SAAM,1670.0,1
332,NPM,1760.0,1
103,FSA,1780.0,1
104,FSA,1800.0,1
51,CFCHFOLKLIFE,1980.0,1
49,CFCHFOLKLIFE,1960.0,1
139,FSG,1820.0,1
304,NPG,1700.0,1
303,NPG,1670.0,1
