Name,Name_ID,Category,Items,Img_path,wiki_brief,wiki_long,fill_check,border_check,Name_Display,Topics,Sub_Category,Name_Web,smithsonian_URL,google_URL
"Edelmann, Max Thomas",EdelmannMaxThomas,Medicine and Science,5,,Engineer,,ms,ms,Max Thomas Edelmann,"Mathematics, Science, Scientific apparatus and instruments, Scientific apparatus and instruments, Science", Physical Sciences,Max%20Thomas%20Edelmann,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Max%20Thomas%20Edelmann,https://www.google.com/search?q=Max%20Thomas%20Edelmann
"Edgerton, Harold",EdgertonHarold,Work and Industry,5,,Professor,"Harold Eugene ""Doc"" Edgerton, also known as Papa Flash was a professor of electrical engineering at the Massachusetts Institute of Technology. ",wi,wi,Harold Edgerton,"Photography, Amusements, Animals, Birds, Circus", Photographic History,Harold%20Edgerton,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Harold%20Edgerton,https://www.google.com/search?q=Harold%20Edgerton
"Edwards, Samuel",EdwardsSamuel,Cultural and Community Life,5,,,,ccl,ccl,Samuel Edwards,Furnishings, Domestic Life,Samuel%20Edwards,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Samuel%20Edwards,https://www.google.com/search?q=Samuel%20Edwards
"Egan, Robert W.",EganRobertW,Political and Military History,5,,,,pmh,pmh,Robert W. Egan,"Politics, Republican National Convention of 2004, Princeton Posters, Republican National Convention of 1932"," Political History, Campaign Collection",Robert%20W%20Egan,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Robert%20W%20Egan,https://www.google.com/search?q=Robert%20W%20Egan
"Ellsworth, Elmer E.",EllsworthElmerE,Political and Military History,5,images/627.jpg,Officer,Elmer Ephraim Ellsworth was a United States Army officer and law clerk who was the first conspicuous casualty and the first Union officer to die in the American Civil War. ,img,pmh,Elmer E. Ellsworth,"Civil War, 1861-1865, Military, Civil War memorialization, American Civil War (1861-1865), Civil War, 1861-1865, American Civil War (1861-1865), American Civil War (1861-1865), Civil War, 1861-1865, Military, Military, Civil War and Reconstruction, Medal of Honor, ThinkFinity"," Armed Forces History, Military",Elmer%20E%20Ellsworth,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Elmer%20E%20Ellsworth,https://www.google.com/search?q=Elmer%20E%20Ellsworth
"Fairey, Shepard",FaireyShepard,Work and Industry,5,images/628.jpg,American artist,"Frank Shepard Fairey is an American contemporary street artist, graphic designer, activist, illustrator, and founder of OBEY Clothing who emerged from the skateboarding scene. ",img,wi,Shepard Fairey,"Protest and Civil Disobedience, Photography, Woman, Children, Automobiles, Firearms, Agriculture, Government, Politics, Princeton Posters, Protest and Civil Disobedience, Social reformers, Emigration and immigration, Art, Presidential Campaign of 2008", Photographic History,Shepard%20Fairey,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Shepard%20Fairey,https://www.google.com/search?q=Shepard%20Fairey
"Falk, Sam",FalkSam,Work and Industry,5,images/629.jpg,Musical group,"The Rat Pack was an informal group of entertainers, the second iteration of which ultimately made movies and appeared together in Las Vegas casino venues. ",img,wi,Sam Falk,Photography, Photographic History,Sam%20Falk,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Sam%20Falk,https://www.google.com/search?q=Sam%20Falk
"Farrell, Jeremiah P.",FarrellJeremiahP,Medicine and Science,5,images/630.jpg,American actor,"Patrick John Flueger is an American actor, known for a lead role as Shawn Farrell in the television series The 4400. He currently appears as a regular in Chicago P.D., playing the role of Adam Ruzek.",img,ms,Jeremiah P. Farrell,"Mathematical Recreations, Mathematics", Mathematics,Jeremiah%20P%20Farrell,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Jeremiah%20P%20Farrell,https://www.google.com/search?q=Jeremiah%20P%20Farrell
"Feist, Leo",FeistLeo,Political and Military History,5,,,"Leopold Feist, in 1897 founded and ran a music publishing firm bearing his name that â€” in the 1920s, at the height of the golden age of popular music â€” was among the seven largest publishers of popular music in the world. Leo Feist, Inc., ran until 1934.",pmh,pmh,Leo Feist,"Amusements, Music, Musical instruments, Music, Prohibition, World War, 1914-1918, Presidents, Music, Music, Government, Music", Entertainment,Leo%20Feist,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Leo%20Feist,https://www.google.com/search?q=Leo%20Feist
"Feliciano, Jose",FelicianoJose,Cultural and Community Life,5,images/632.jpg,Puerto Rican singer,"Cheo Feliciano was a Puerto Rican singer and composer of salsa and bolero music. Feliciano was the owner of a recording company called ""Coche Records"". ",img,ccl,Jose Feliciano,"Musical instruments, Music, Blind, Music, Musical instruments, Baseball, Sports, World Series, Music, Musical instruments", Musical Instruments,Jose%20Feliciano,https://americanhistory.si.edu/collections/search?return_all=1&edan_local=1&edan_q=Jose%20Feliciano,https://www.google.com/search?q=Jose%20Feliciano
