Name,Name_ID,Name_Display,Category,fill_check,border_check,Items
"Leonard, Herman",LeonardHerman,Herman Leonard,Work and Industry,wi,wi,2
"Levy, J.",LevyJ,J. Levy,Cultural and Community Life,ccl,ccl,2
"Lewis, Meade Lux",LewisMeadeLux,Meade Lux Lewis,Cultural and Community Life,ccl,ccl,2
"Lewis, R. A.",LewisRA,R. A. Lewis,Work and Industry,wi,wi,2
"Lichty, George",LichtyGeorge,George Lichty,Work and Industry,wi,wi,2
"Light, Edward",LightEdward,Edward Light,Cultural and Community Life,ccl,ccl,2
"Lighthall, William A.",LighthallWilliamA,William A. Lighthall,Work and Industry,wi,wi,2
"Lilly, Warren",LillyWarren,Warren Lilly,Political and Military History,pmh,pmh,2
"Lincoln, Robert Todd",LincolnRobertTodd,Robert Todd Lincoln,Cultural and Community Life,ccl,ccl,2
"Lindquist, E. F.",LindquistEF,E. F. Lindquist,Medicine and Science,ms,ms,2
"Lines, Stephen",LinesStephen,Stephen Lines,Work and Industry,wi,wi,2
"Liotta, Domingo",LiottaDomingo,Domingo Liotta,Medicine and Science,ms,ms,2
"Lisle, Lizzie",LisleLizzie,Lizzie Lisle,Cultural and Community Life,ccl,ccl,2
"Locke, Augusta Jones",LockeAugustaJones,Augusta Jones Locke,Cultural and Community Life,ccl,ccl,2
"Lockwood, C. P.",LockwoodCP,C. P. Lockwood,Medicine and Science,ms,ms,2
"Logan, John Alexander",LoganJohnAlexander,John Alexander Logan,Political and Military History,pmh,pmh,2
"Lombart, Pierre",LombartPierre,Pierre Lombart,Work and Industry,wi,wi,2
