Name,Name_ID,Name_Display,Category,fill_check,border_check,Items
"Ryan, Dalon",RyanDalon,Dalon Ryan,Political and Military History,pmh,pmh,2
"Rydell, Bobby",RydellBobby,Bobby Rydell,Cultural and Community Life,ccl,ccl,2
"Ryder, James F.",RyderJamesF,James F. Ryder,Cultural and Community Life,ccl,ccl,2
"Sachs, Anna",SachsAnna,Anna Sachs,Cultural and Community Life,ccl,ccl,2
"Saegmuller, George Nicholas",SaegmullerGeorgeNicholas,George Nicholas Saegmuller,Medicine and Science,ms,ms,2
"Salleron, Jules",SalleronJules,Jules Salleron,Medicine and Science,ms,ms,2
"Sandburg, Carl",SandburgCarl,Carl Sandburg,Work and Industry,wi,wi,2
"Santero, Sto. Ni̱o (?)",SanteroStoNi̱o(?),Sto. Ni̱o (?) Santero,Cultural and Community Life,ccl,ccl,2
"Sartain, John",SartainJohn,John Sartain,Political and Military History,pmh,pmh,2
"Sartain, William",SartainWilliam,William Sartain,Work and Industry,wi,wi,2
"Saunders, Thomas",SaundersThomas,Thomas Saunders,Medicine and Science,ms,ms,2
"Sawyer, William E.",SawyerWilliamE,William E. Sawyer,Work and Industry,wi,wi,2
"Saxton, Joseph",SaxtonJoseph,Joseph Saxton,Medicine and Science,ms,ms,2
"Scarry, Richard",ScarryRichard,Richard Scarry,Cultural and Community Life,ccl,ccl,2
"Schaus, William",SchausWilliam,William Schaus,Cultural and Community Life,ccl,ccl,2
"Scheffer, Ary",SchefferAry,Ary Scheffer,Work and Industry,wi,wi,2
"Schenk, Leonard",SchenkLeonard,Leonard Schenk,Work and Industry,wi,wi,2
"Schick, Bill",SchickBill,Bill Schick,Cultural and Community Life,ccl,ccl,2
"Schraudolph, Johann van",SchraudolphJohannvan,Johann van Schraudolph,Work and Industry,wi,wi,2
"Schuler, Edouard",SchulerEdouard,Edouard Schuler,Work and Industry,wi,wi,2
"Schulz, Charles M.",SchulzCharlesM,Charles M. Schulz,Cultural and Community Life,ccl,ccl,2
"Schwarzenegger, Arnold",SchwarzeneggerArnold,Arnold Schwarzenegger,Political and Military History,pmh,pmh,2
"Scofield, E. M.",ScofieldEM,E. M. Scofield,Medicine and Science,ms,ms,2
"Scott, Freddie",ScottFreddie,Freddie Scott,Cultural and Community Life,ccl,ccl,2
"Scott, Walter",ScottWalter,Walter Scott,Work and Industry,wi,wi,2
"Scroggy, Thomas M.",ScroggyThomasM,Thomas M. Scroggy,Work and Industry,wi,wi,2
"Seager, Edward",SeagerEdward,Edward Seager,Work and Industry,wi,wi,2
"Seaton, William Winston",SeatonWilliamWinston,William Winston Seaton,Work and Industry,wi,wi,2
"Sechler, Clyde S.",SechlerClydeS,Clyde S. Sechler,Political and Military History,pmh,pmh,2
"Seeger, Pete",SeegerPete,Pete Seeger,Political and Military History,pmh,pmh,2
"Seitz, Emil",SeitzEmil,Emil Seitz,Cultural and Community Life,ccl,ccl,2
